source_taxon_name,interaction_type,target_taxon_name,study_citation,study_source_archive_uri
Ophiocordycipitaceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Colobopsis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Colobopsis saundersi,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Camponotus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis debilis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis illaudata,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,parasiteOf,Colobopsis leonardi,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,parasiteOf,Colobopsis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hypocreaceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Atta,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Apterostigma pilosum,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Acromyrmex,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Cyphomyrmex,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
