pair
"Ophiocordycipitaceae , pathogenOf , Formicidae"
"Ophiocordyceps unilateralis , pathogenOf , Formicidae"
"Ophiocordyceps unilateralis , pathogenOf , Colobopsis saundersi"
"Ophiocordyceps unilateralis , parasiteOf , Colobopsis leonardi"
"Leucoagaricus gongylophorus , hasHost , Atta sexdens"
"Leucoagaricus gongylophorus , hasHost , Acromyrmex echinatior"
"Leucoagaricus gongylophorus , hasHost , Atta cephalotes"
"Hypocreaceae , pathogenOf , Formicidae"
"Escovopsis , pathogenOf , Acromyrmex"
"Escovopsis , pathogenOf , Cyphomyrmex"
"Escovopsis , parasiteOf , Apterostigma pilosum"
"Trichosporonaceae , hasHost , Allomerus"
"Pleosporaceae , hasHost , Allomerus"
"Agaricomycetes , hasHost , Allomerus"
"Ustilaginaceae , hasHost , Allomerus"
"Agaricales , hasHost , Allomerus"
"Cordycipitaceae , hasHost , Allomerus"
"Vairimorpha invictae , pathogenOf , Solenopsis invicta"
"Verticillium indicum , pathogenOf , Anoplolepis gracilipes"
"Pseudonocardia spinosispora , hasHost , Trachymyrmex septentrionalis"
"Bacillus subtilis , hasHost , Solenopsis invicta"
"Wolbachia pipientis , hasHost , Formica truncorum"
"Hypocreaceae , kills , Formicidae"
"Luteomyces , interactsWith , Mycocepurus"
"Cladosporiaceae , hasVector , Formicidae"
"Cochliobolus geniculatus , pathogenOf , Atta laevigata"
"Wolbachia pipientis , pathogenOf , Temnothorax"
"Ophiocordyceps kimflemingiae , interactsWith , Camponotus castaneus"
"Ophiocordyceps kimflemingiae , pathogenOf , Camponotus castaneus"
"Ophiocordyceps camponoti-renggeri , pathogenOf , Formicidae"
"Ophiocordyceps camponoti-bispinosi , pathogenOf , Formicidae"
"Ophiocordyceps camponoti-femorati , pathogenOf , Formicidae"
"Ophiocordyceps camponoti-floridani , pathogenOf , Formicidae"
"Ophiocordyceps kniphofioides , pathogenOf , Dinoponera longipes"
"Ophiocordyceps , pathogenOf , Paraponera"
"Streptomyces , interactsWith , Paratrechina longicornis"
"Streptomyces , interactsWith , Pseudomyrmex penetrator"
"Streptomyces , interactsWith , Pseudomyrmex"
"Paraponera clavata , interactsWith , Ophiocordyceps kniphofioides"
"Actinobacteria , interactsWith , Paratrechina"
"Formicidae , symbiontOf , Agaricaceae"
"Wolbachia , pathogenOf , Solenopsis invicta"
"Formicidae , interactsWith , Bacteria"
"Ophiocordyceps , kills , Formicidae"
"Pseudomonas aeruginosa , parasiteOf , Solenopsis invicta"
"Camponotus nicobarensis , eats , Coccoidea"
"Linepithema humile , interactsWith , Coccoidea"
"Philidris , interactsWith , Coccoidea"
"Cordyceps , parasiteOf , Camponotus chromaiodes"
"Lactococcus garvieae , hasHost , Solenopsis invicta"
"Agaricomycetes , hasHost , Apterostigma calverti"
"Agaricales , hasHost , Apterostigma urichii"
"Agaricomycetes , hasHost , Apterostigma manni"
"Atta texana , interactsWith , Agaricus"
"Hypocreodendron sanguineum , hasHost , Atta"
"Hypocreodendron sanguineum , adjacentTo , Formicidae"
"Entomophthora muscae , interactsWith , ? rudis"
"Laboulbenia , hasHost , Polyergus lucidus"
"Camponotus herculeanus , interactsWith , Cladonia rangiferina"
"Burenella dimorpha , pathogenOf , Solenopsis geminata"
"Beauveria bassiana , pathogenOf , Formica"
"Serratia marcescens , hasHost , Solenopsis invicta"
"Pleosporaceae , hasVector , Formicidae"
"Escovopsis , interactsWith , Atta sexdens"
"Escovopsis , interactsWith , Atta"
"Laboulbenia , pathogenOf , Lasius neglectus"
"Burkholderiaceae , interactsWith , Formicidae"
"Burkholderiaceae , interactsWith , Tetraponera"
"Formicidae , hasHost , Bacteria"
"Atta sexdens , interactsWith , Streptomyces"
"Ophiocordyceps pseudolloydii , hasHost , Tapinoma thoracica"
"Ophiocordyceps irangiensis , hasHost , Polyrhachis"
"Leucocoprinus , hasHost , Cyphomyrmex costatus"
"Ectatomma brunneum , interactsWith , Coccoidea"
"Erromyrma latinodis , interactsWith , Coccoidea"
"Camponotus compressus , interactsWith , Entomophthorales"
"Psathyrella seymourensis , interactsWith , Formica fusca"
"Entomophthorales , parasiteOf , Paratrechina longicornis"
"Chaetothyriales , hasHost , Petalomyrmex phylax"
