source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri
Cicadoidea,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/84384869,https://www.inaturalist.org/observations/84384869,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Aphididae,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/79866831,https://www.inaturalist.org/observations/79866831,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Apis mellifera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/79784756,https://www.inaturalist.org/observations/79784756,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Plagiodera versicolora,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/170596020,https://www.inaturalist.org/observations/170596020,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Erebidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/70978646,https://www.inaturalist.org/observations/70978646,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Entylia carinata,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/165643531,https://www.inaturalist.org/observations/165643531,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Auchenorrhyncha,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/155760856,https://www.inaturalist.org/observations/155760856,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Lepidoptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/57288703,https://www.inaturalist.org/observations/57288703,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Anisoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/236212073,https://www.inaturalist.org/observations/236212073,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Limenitis arthemis,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/233671385,https://www.inaturalist.org/observations/233671385,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Aphis coreopsidis,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/136918545,https://www.inaturalist.org/observations/136918545,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Aphis coreopsidis,symbiontOf,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/136918545,https://www.inaturalist.org/observations/136918545,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Myrmica rubra,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/230366068,https://www.inaturalist.org/observations/230366068,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Tanytarsus,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/43014683,https://www.inaturalist.org/observations/43014683,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Aphis nerii,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/227693011,https://www.inaturalist.org/observations/227693011,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Acanthocephala declivis,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/227128112,https://www.inaturalist.org/observations/227128112,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Bombus,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/224431618,https://www.inaturalist.org/observations/224431618,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Forficulidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/221479428,https://www.inaturalist.org/observations/221479428,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Diptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/218087554,https://www.inaturalist.org/observations/218087554,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Heteroptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/120878494,https://www.inaturalist.org/observations/120878494,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Forficula auricularia,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/304880569,https://www.inaturalist.org/observations/304880569,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Sphenophorus,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/194253130,https://www.inaturalist.org/observations/194253130,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Dermaptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/190866680,https://www.inaturalist.org/observations/190866680,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Danaus plexippus,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/7324399,https://www.inaturalist.org/observations/7324399,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Scarabaeidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/95660945,https://www.inaturalist.org/observations/95660945,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Orthoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/4193789,https://www.inaturalist.org/observations/4193789,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Lepidoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/272495996,https://www.inaturalist.org/observations/272495996,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Noctuoidea,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/268973844,https://www.inaturalist.org/observations/268973844,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Musca domestica,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/177437551,https://www.inaturalist.org/observations/177437551,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Camponotus pennsylvanicus,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/88951349,https://www.inaturalist.org/observations/88951349,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip
Formicidae,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Atta sexdens,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Polyergus,interactsWith,Formica,UCSB-IZC00026316 https://ecdysis.org/collections/individual/index.php?occid=845573,https://ecdysis.org/collections/individual/index.php?occid=845573,https://github.com/globalbioticinteractions/ucsb-izc/archive/bf93d613007b96be7e3b0558c8a003092bd67bde.zip
Lycaeides melissa,interactsWith,Formica,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Liphyra brassolis,interactsWith,Oecophylla smaragdina,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:213292,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:213292,https://github.com/globalbioticinteractions/mcz/archive/b33635a9fc75fd7931ad968cbc11180e6467bfd7.zip
Glyphinaphis bambusae,interactsWith,Oecophylla smaragdina,https://arctos.database.museum/guid/UTEP:Ento:26233,https://arctos.database.museum/guid/UTEP:Ento:26233,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Canthidium laetum,interactsWith,Atta mexicana,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Canthon indigaceus,interactsWith,Atta mexicana,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Solenopsis xyloni,interactsWith,Solenopsis xyloni,https://arctos.database.museum/guid/UTEP:Ento:16156,https://arctos.database.museum/guid/UTEP:Ento:16156,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Cochliomyia macellaria,eatenBy,Solenopsis xyloni,"M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-El Paso, Texas. ",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Wiedemannia (Wiedemannia),eatenBy,Solenopsis xyloni,"M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-El Paso, Texas. ",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Phaenicia sericata,eatenBy,Solenopsis xyloni,"M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-El Paso, Texas. ",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Myrsidea birmensis,eatenBy,Solenopsis xyloni,"M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-El Paso, Texas. ",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Sinea complexa,eats,Solenopsis xyloni,"M. McKinnerney. (1978). Carrion Communities in the Northern Chihuahuan Desert. The Southwestern Naturalist. 23(4), pp. 563-576; see also McKinnerney, M. (1977). Carrion communities in the northern Chihuahuan Desert. M.S. thesis. University of Texas-El Paso, Texas. ",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Wiedemannia (Wiedemannia),preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Sinea complexa,preysOn,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
