source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri,categoria
Cicadoidea,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/84384869,https://www.inaturalist.org/observations/84384869,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Aphididae,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/79866831,https://www.inaturalist.org/observations/79866831,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Apis mellifera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/79784756,https://www.inaturalist.org/observations/79784756,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Plagiodera versicolora,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/170596020,https://www.inaturalist.org/observations/170596020,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Erebidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/70978646,https://www.inaturalist.org/observations/70978646,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Entylia carinata,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/165643531,https://www.inaturalist.org/observations/165643531,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Auchenorrhyncha,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/155760856,https://www.inaturalist.org/observations/155760856,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Lepidoptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/57288703,https://www.inaturalist.org/observations/57288703,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Anisoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/236212073,https://www.inaturalist.org/observations/236212073,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Limenitis arthemis,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/233671385,https://www.inaturalist.org/observations/233671385,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Aphis coreopsidis,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/136918545,https://www.inaturalist.org/observations/136918545,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Aphis coreopsidis,symbiontOf,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/136918545,https://www.inaturalist.org/observations/136918545,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Myrmica rubra,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/230366068,https://www.inaturalist.org/observations/230366068,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Tanytarsus,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/43014683,https://www.inaturalist.org/observations/43014683,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Aphis nerii,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/227693011,https://www.inaturalist.org/observations/227693011,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Acanthocephala declivis,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/227128112,https://www.inaturalist.org/observations/227128112,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Bombus,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/224431618,https://www.inaturalist.org/observations/224431618,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Forficulidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/221479428,https://www.inaturalist.org/observations/221479428,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Diptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/218087554,https://www.inaturalist.org/observations/218087554,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Heteroptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/120878494,https://www.inaturalist.org/observations/120878494,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Forficula auricularia,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/304880569,https://www.inaturalist.org/observations/304880569,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Sphenophorus,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/194253130,https://www.inaturalist.org/observations/194253130,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Dermaptera,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/190866680,https://www.inaturalist.org/observations/190866680,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Danaus plexippus,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/7324399,https://www.inaturalist.org/observations/7324399,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
