0
"Ophiocordyceps unilateralis , hasParasite , Camponotus pennsylvanicus"
"Aspergillus flavus , pathogenOf , Anoplolepis gracilipes"
"Aphanocladium album , pathogenOf , Anoplolepis gracilipes"
"Isaria farinosa , pathogenOf , Anoplolepis gracilipes"
"Verticillium indicum , pathogenOf , Anoplolepis gracilipes"
"Leucocoprinus , hasHost , Atta sexdens"
"Basidiomycota , interactsWith , Atta sexdens"
"Escovopsis , interactsWith , Atta sexdens"
"Streptomyces , interactsWith , Atta sexdens"
"Leucoagaricus gongylophorus , hasHost , Atta sexdens"
"Blastobotrys attinorum , hasHost , Atta sexdens"
"Metarhizium anisopliae , pathogenOf , Atta sexdens"
"Sporothrix insectorum , pathogenOf , Paltothyreus tarsatus"
"Akanthomyces gracilis , pathogenOf , Paltothyreus tarsatus"
"Beauveria bassiana , pathogenOf , Formica"
"Lecanicillium lecanii , pathogenOf , Formica"
"Paecilomyces fumosoroseus , pathogenOf , Cataulacus guineensis"
"Beauveria bassiana , pathogenOf , Oecophylla smaragdina"
"Beauveria bassiana , pathogenOf , Atta mexicana"
"Myrmecomyces annellisiae , hasHost , Solenopsis quinquecuspis"
"Beauveria bassiana , pathogenOf , Solenopsis quinquecuspis"
"Myrmicinosporidium durum , pathogenOf , Pogonomyrmex barbatus"
"Beauveria bassiana , pathogenOf , Solenopsis saevissima"
"Beauveria bassiana , pathogenOf , Solenopsis xyloni"
"Burenella dimorpha , pathogenOf , Solenopsis xyloni"
"Metarhizium anisopliae , pathogenOf , Solenopsis richteri"
"Burenella dimorpha , pathogenOf , Solenopsis richteri"
"Burenella dimorpha , pathogenOf , Solenopsis geminata"
"Leucoagaricus gongylophorus , hasHost , Atta laevigata"
"Curvularia geniculata , pathogenOf , Atta laevigata"
"Myrmicinosporidium durum , pathogenOf , Solenopsis fugax"
"Myrmicinosporidium durum , pathogenOf , Plagiolepis pygmaea"
"Myrmicinosporidium durum , pathogenOf , Leptothorax unifasciatus"
"Myrmicinosporidium durum , pathogenOf , Plagiolepis vindobonensis"
"Myrmicinosporidium durum , pathogenOf , Leptothorax recedens"
"Myrmicinosporidium durum , pathogenOf , Leptothorax exilis"
"Myrmicinosporidium durum , pathogenOf , Leptothorax lichtensteini"
"Myrmicinosporidium durum , pathogenOf , Leptothorax angustulus"
"Aspergillus flavus , pathogenOf , Atta texana"
"Fusarium solani , hasHost , Atta texana"
"Attaphila fungicola , interactsWith , Atta texana"
"Myrmicinosporidium durum , pathogenOf , Leptothorax affinis"
"Myrmicinosporidium durum , pathogenOf , Leptothorax tuberum tuberum"
"Myrmicinosporidium durum , pathogenOf , Leptothorax racovitzai"
"Myrmicinosporidium durum , pathogenOf , Pheidole pallidula"
"Myrmecomyces annellisiae , hasHost , Solenopsis invicta"
"Candida , hasHost , Solenopsis invicta"
"Pseudomonas aeruginosa , parasiteOf , Solenopsis invicta"
"Bacillus cereus , hasHost , Solenopsis invicta"
"Staphylococcus epidermidis , hasHost , Solenopsis invicta"
"Bacillus pumilus , hasHost , Solenopsis invicta"
"Bacillus subtilis , hasHost , Solenopsis invicta"
"Serratia marcescens , hasHost , Solenopsis invicta"
"Achromobacter xylosoxidans , hasHost , Solenopsis invicta"
"Pseudomonas aeruginosa , hasHost , Solenopsis invicta"
"Lactococcus garvieae , hasHost , Solenopsis invicta"
"Kluyvera cryocrescens , hasHost , Solenopsis invicta"
"Bacillus thuringiensis , hasHost , Solenopsis invicta"
"Staphylococcus hominis , hasHost , Solenopsis invicta"
"Burenella dimorpha , pathogenOf , Solenopsis invicta"
"Vairimorpha invictae , pathogenOf , Solenopsis invicta"
"Thelohania , pathogenOf , Solenopsis invicta"
"Metarhizium anisopliae , pathogenOf , Solenopsis invicta"
"Beauveria bassiana , pathogenOf , Solenopsis invicta"
"Beauveria brongniartii , pathogenOf , Solenopsis invicta"
"Conidiobolus , pathogenOf , Solenopsis invicta"
"Beauveria amorpha , interactsWith , Formicidae"
"Ophiocordyceps myrmecophila , hasHost , Formicidae"
