source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri
Ophiocordyceps unilateralis,hasParasite,Camponotus pennsylvanicus,https://speciesconnect.com/case/ophiocordyceps-unilateralis-parasitism-camponotus-pennsylvanicus/,https://speciesconnect.com/case/ophiocordyceps-unilateralis-parasitism-camponotus-pennsylvanicus/,https://github.com/globalbioticinteractions/speciesconnect/archive/c3c6f45f0864cd9d7fb4f281f69669cc5516cbfd.zip
Aspergillus flavus,pathogenOf,Anoplolepis gracilipes,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Aphanocladium album,pathogenOf,Anoplolepis gracilipes,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Isaria farinosa,pathogenOf,Anoplolepis gracilipes,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Verticillium indicum,pathogenOf,Anoplolepis gracilipes,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Leucocoprinus,hasHost,Atta sexdens,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBAGA10892-15,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBAGA10892-15,https://github.com/globalbioticinteractions/bold/archive/604c9ecdf7d88e61b645bb5f43532b7adc11bb4f.zip
Basidiomycota,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Escovopsis,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Streptomyces,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Leucoagaricus gongylophorus,hasHost,Atta sexdens,http://www.ncbi.nlm.nih.gov/nuccore/49425502,http://www.ncbi.nlm.nih.gov/nuccore/49425502,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Blastobotrys attinorum,hasHost,Atta sexdens,http://www.ncbi.nlm.nih.gov/nuccore/38230550,http://www.ncbi.nlm.nih.gov/nuccore/38230550,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
