par_interacao
Rubus | interactsWith | Camponotus pennsylvanicus
greenhouse | interactsWith | Camponotus pennsylvanicus
Quercus falcata | interactsWith | Camponotus pennsylvanicus
oak tree | interactsWith | Camponotus pennsylvanicus
ex. rotted log | hostOf | Camponotus pennsylvanicus
ground | interactsWith | Camponotus pennsylvanicus
floor or building | interactsWith | Camponotus pennsylvanicus
ex log | hostOf | Camponotus pennsylvanicus
Under bark Lodgepole Pine | interactsWith | Camponotus pennsylvanicus
Under bark Limber Pine | interactsWith | Camponotus pennsylvanicus
Under bark Ponderosa Pine | interactsWith | Camponotus pennsylvanicus
Under bark Limber pine | interactsWith | Camponotus pennsylvanicus
Under bark Ponderosa pine | interactsWith | Camponotus pennsylvanicus
mixed low vegetation probably feeding on plant tissues next to a walkway. Caught along side Camponotus atriceps using sweep net. | interactsWith | Camponotus pennsylvanicus
Ophiocordyceps unilateralis | hasParasite | Camponotus pennsylvanicus
Cicadoidea | preyedUponBy | Camponotus pennsylvanicus
Philoscia muscorum | eatenBy | Camponotus pennsylvanicus
Robinia pseudoacacia | visitedBy | Camponotus pennsylvanicus
Quercus alba | visitedBy | Camponotus pennsylvanicus
Aphididae | interactsWith | Camponotus pennsylvanicus
Apis mellifera | eatenBy | Camponotus pennsylvanicus
Araneae | eatenBy | Camponotus pennsylvanicus
Erigeron | interactsWith | Camponotus pennsylvanicus
Aphilanthops frigidus | eatenBy | Camponotus pennsylvanicus
Plagiodera versicolora | interactsWith | Camponotus pennsylvanicus
Apiaceae | flowersVisitedBy | Camponotus pennsylvanicus
Apiaceae | visitedBy | Camponotus pennsylvanicus
Rodentia | eatenBy | Camponotus pennsylvanicus
Lamium purpureum | interactsWith | Camponotus pennsylvanicus
Erebidae | preyedUponBy | Camponotus pennsylvanicus
Rubus idaeus | flowersVisitedBy | Camponotus pennsylvanicus
Trucidophora camponoti | interactsWith | Camponotus pennsylvanicus
Cornus sericea | visitedBy | Camponotus pennsylvanicus
Pinus | visitedBy | Camponotus pennsylvanicus
Entylia carinata | interactsWith | Camponotus pennsylvanicus
Ambrosia trifida | visitedBy | Camponotus pennsylvanicus
Pastinaca sativa | visitedBy | Camponotus pennsylvanicus
Pastinaca sativa | flowersVisitedBy | Camponotus pennsylvanicus
Prociphilus tessellatus | interactsWith | Camponotus pennsylvanicus
Vanduzea arquata | symbiontOf | Camponotus pennsylvanicus
Aesculus × carnea | visitedBy | Camponotus pennsylvanicus
Acer negundo | visitedBy | Camponotus pennsylvanicus
Ovalipes ocellatus | eatenBy | Camponotus pennsylvanicus
Tamias striatus | eatenBy | Camponotus pennsylvanicus
Cyperus | interactsWith | Camponotus pennsylvanicus
Luffa | interactsWith | Camponotus pennsylvanicus
Dolichovespula maculata | eatenBy | Camponotus pennsylvanicus
Auchenorrhyncha | eatenBy | Camponotus pennsylvanicus
Acer palmatum | visitedBy | Camponotus pennsylvanicus
Bidens | visitedBy | Camponotus pennsylvanicus
Coccinae | interactsWith | Camponotus pennsylvanicus
Aesculus glabra | visitedBy | Camponotus pennsylvanicus
Agelenopsis | preysOn | Camponotus pennsylvanicus
Lycorma delicatula | preyedUponBy | Camponotus pennsylvanicus
Lepidoptera | preyedUponBy | Camponotus pennsylvanicus
Aureolaria virginica | flowersVisitedBy | Camponotus pennsylvanicus
Reynoutria japonica | flowersVisitedBy | Camponotus pennsylvanicus
Daucus carota | interactsWith | Camponotus pennsylvanicus
Hamamelistes spinosus | interactsWith | Camponotus pennsylvanicus
Cephalanthus occidentalis | visitedBy | Camponotus pennsylvanicus
Anisoptera | eatenBy | Camponotus pennsylvanicus
Celtis occidentalis | visitedBy | Camponotus pennsylvanicus
Salix nigra | interactsWith | Camponotus pennsylvanicus
Limenitis arthemis | eatenBy | Camponotus pennsylvanicus
Quercus macrocarpa | interactsWith | Camponotus pennsylvanicus
Ipomoea batatas | interactsWith | Camponotus pennsylvanicus
Aphis coreopsidis | interactsWith | Camponotus pennsylvanicus
Aphis coreopsidis | symbiontOf | Camponotus pennsylvanicus
Amorpha fruticosa | visitedBy | Camponotus pennsylvanicus
Disholcaspis quercusmamma | interactsWith | Camponotus pennsylvanicus
Aphis viburniphila | interactsWith | Camponotus pennsylvanicus
Myrmica rubra | eatenBy | Camponotus pennsylvanicus
Tanytarsus | eatenBy | Camponotus pennsylvanicus
Carya | interactsWith | Camponotus pennsylvanicus
Polyglyptini | interactsWith | Camponotus pennsylvanicus
Campsis | interactsWith | Camponotus pennsylvanicus
Asclepias syriaca | interactsWith | Camponotus pennsylvanicus
Aphis nerii | interactsWith | Camponotus pennsylvanicus
Dryophytes versicolor | interactsWith | Camponotus pennsylvanicus
Sicyos angulatus | flowersVisitedBy | Camponotus pennsylvanicus
Acanthocephala declivis | eatenBy | Camponotus pennsylvanicus
Cucurbita melopepo ozarkana | visitedBy | Camponotus pennsylvanicus
Echinocystis lobata | visitedBy | Camponotus pennsylvanicus
Hemerocallis | visitedBy | Camponotus pennsylvanicus
Daucus carota | visitedBy | Camponotus pennsylvanicus
Bombus | preyedUponBy | Camponotus pennsylvanicus
Cirsium discolor | visitedBy | Camponotus pennsylvanicus
Rosa rugosa | flowersVisitedBy | Camponotus pennsylvanicus
Senna | flowersVisitedBy | Camponotus pennsylvanicus
Maclura pomifera | eatenBy | Camponotus pennsylvanicus
Maclura pomifera | interactsWith | Camponotus pennsylvanicus
Asclepias tuberosa | flowersVisitedBy | Camponotus pennsylvanicus
Forficulidae | preyedUponBy | Camponotus pennsylvanicus
Paeonia officinalis | interactsWith | Camponotus pennsylvanicus
Diptera | preyedUponBy | Camponotus pennsylvanicus
Acer saccharum | visitedBy | Camponotus pennsylvanicus
Cornus racemosa | interactsWith | Camponotus pennsylvanicus
Alnus | interactsWith | Camponotus pennsylvanicus
Chaitophorus populicola | symbiontOf | Camponotus pennsylvanicus
Heteroptera | preyedUponBy | Camponotus pennsylvanicus
Salix | interactsWith | Camponotus pennsylvanicus
Salix | hostOf | Camponotus pennsylvanicus
Vicia sativa | visitedBy | Camponotus pennsylvanicus
Euonymus americanus | interactsWith | Camponotus pennsylvanicus
Crataegus | flowersVisitedBy | Camponotus pennsylvanicus
Euonymus americanus | visitedBy | Camponotus pennsylvanicus
Rumex crispus | interactsWith | Camponotus pennsylvanicus
Zizia aurea | interactsWith | Camponotus pennsylvanicus
Rudbeckia subtomentosa | interactsWith | Camponotus pennsylvanicus
Prociphilus tessellatus | symbiontOf | Camponotus pennsylvanicus
Alnus glutinosa | visitedBy | Camponotus pennsylvanicus
Forficula auricularia | preyedUponBy | Camponotus pennsylvanicus
Gamochaeta | interactsWith | Camponotus pennsylvanicus
Ulmus minor | interactsWith | Camponotus pennsylvanicus
Sphenophorus | preyedUponBy | Camponotus pennsylvanicus
Platycryptus undatus | eatenBy | Camponotus pennsylvanicus
Euonymus fortunei | interactsWith | Camponotus pennsylvanicus
Echinacea purpurea | flowersVisitedBy | Camponotus pennsylvanicus
Dermaptera | preyedUponBy | Camponotus pennsylvanicus
Vitis riparia | visitedBy | Camponotus pennsylvanicus
Impatiens capensis | flowersVisitedBy | Camponotus pennsylvanicus
Asclepias syriaca | flowersVisitedBy | Camponotus pennsylvanicus
Tutelina harti | preysOn | Camponotus pennsylvanicus
Persicaria | interactsWith | Camponotus pennsylvanicus
Paeonia | interactsWith | Camponotus pennsylvanicus
Aculeata | eatenBy | Camponotus pennsylvanicus
Solidago | visitedBy | Camponotus pennsylvanicus
Hydrangea | visitedBy | Camponotus pennsylvanicus
Cornus | visitedBy | Camponotus pennsylvanicus
Danaus plexippus | eatenBy | Camponotus pennsylvanicus
Trifolium pratense | interactsWith | Camponotus pennsylvanicus
Scarabaeidae | preyedUponBy | Camponotus pennsylvanicus
Acer saccharinum | visitedBy | Camponotus pennsylvanicus
Anasaitis canosus | preysOn | Camponotus pennsylvanicus
Lochmaeus manteo | preyedUponBy | Camponotus pennsylvanicus
Orthoptera | eatenBy | Camponotus pennsylvanicus
Bombus impatiens | eatenBy | Camponotus pennsylvanicus
Lepidoptera | eatenBy | Camponotus pennsylvanicus
Spiraea japonica | visitedBy | Camponotus pennsylvanicus
Daucus carota | flowersVisitedBy | Camponotus pennsylvanicus
Paeoniaceae | flowersVisitedBy | Camponotus pennsylvanicus
Noctuoidea | preyedUponBy | Camponotus pennsylvanicus
Asclepias syriaca | visitedBy | Camponotus pennsylvanicus
Musca domestica | eatenBy | Camponotus pennsylvanicus
Camponotus pennsylvanicus | interactsWith | Camponotus pennsylvanicus
Populus balsamifera | visitedBy | Camponotus pennsylvanicus
Skrjabinomermis | hasHost | Camponotus pennsylvanicus
Acari | hasHost | Camponotus pennsylvanicus
Dicrocoelium dendriticum | interactsWith | Camponotus pennsylvanicus
Skrjabinomermis | parasiteOf | Camponotus pennsylvanicus
Erythroxlum sechellarum | eatenBy | Anoplolepis gracilipes
Phoenicophorium borsigianum | eatenBy | Anoplolepis gracilipes
Pyrostria bibracteata | eatenBy | Anoplolepis gracilipes
Memecylon elaeagni | eatenBy | Anoplolepis gracilipes
Mimusops sechellarum | eatenBy | Anoplolepis gracilipes
Aspergillus flavus | pathogenOf | Anoplolepis gracilipes
Aphanocladium album | pathogenOf | Anoplolepis gracilipes
Metarhizium viride | pathogenOf | Anoplolepis gracilipes
Isaria farinosa | pathogenOf | Anoplolepis gracilipes
Verticillium indicum | pathogenOf | Anoplolepis gracilipes
Cinnamomum verum | eatenBy | Anoplolepis gracilipes
Roscheria melanochaetes | eatenBy | Anoplolepis gracilipes
Deckenia nobilis | eatenBy | Anoplolepis gracilipes
Soulamea terminaloides | eatenBy | Anoplolepis gracilipes
Premna serratifolia | eatenBy | Anoplolepis gracilipes
Nephrosperma vanhoutteanum | eatenBy | Anoplolepis gracilipes
Medusagyne oppositifolia | eatenBy | Anoplolepis gracilipes
Syzygium wrightii | eatenBy | Anoplolepis gracilipes
ex. from live oak & palmetto litter on Hurricane Trail | hostOf | Solenopsis
Unk. leaves | interactsWith | Solenopsis
Okella parallelus | interactsWith | Solenopsis
Orasema | parasiteOf | Solenopsis
Beauveria amorpha | hasHost | Solenopsis
Sialia sialis | eatenBy | Solenopsis
Colaptes auratus | eats | Solenopsis
ex rotten log | hostOf | Solenopsis
ex dead twig | hostOf | Solenopsis
ex dead twig of Baccharis | hostOf | Solenopsis
Crematogaster | interactsWith | Solenopsis
small | eatenBy | Solenopsis
In Pheidole dentata nest | interactsWith | Solenopsis
ex dead twig of vine | hostOf | Solenopsis
Monomorium | interactsWith | Solenopsis
litter/soil | interactsWith | Solenopsis
ex Sotol (Dasylirion sp.) | hostOf | Solenopsis
some kind of insect eggs. | eatenBy | Solenopsis
bromeliad | interactsWith | Solenopsis
Jatropha | interactsWith | Solenopsis
Aphaenogaster fulva | interactsWith | Solenopsis
Strumigenys louisianae | interactsWith | Solenopsis
Formica argentea | interactsWith | Solenopsis
Solenopsis validiscula | interactsWith | Solenopsis
Rodentia | interactsWith | Solenopsis
Testudines | interactsWith | Solenopsis
Odontomachus bauri | interactsWith | Solenopsis
Formica oreas | interactsWith | Solenopsis
Solenopsis richteri | interactsWith | Solenopsis
Cordia nodosa | interactsWith | Solenopsis
Oplitis exsectoidesorum | interactsWith | Solenopsis
Beauveria amorpha | pathogenOf | Solenopsis
Populus pollancrus | interactsWith | Solenopsis
Salix | interactsWith | Solenopsis
Quercus agrifolia | interactsWith | Solenopsis
Cupressus macrocarpa | interactsWith | Solenopsis
Noctilio leporinus | preysOn | Solenopsis
Orasema polymyrmex | hasParasitoid | Solenopsis
Orasema | hasHost | Solenopsis
Anasaitis canosus | preysOn | Solenopsis
Aricoris propitia | interactsWith | Solenopsis
Solenopsis geminata | preysOn | Solenopsis
Dryobates nuttallii | eatenBy | Solenopsis
Uta stansburiana elegans | eatenBy | Solenopsis
Dasypus novemcinctus | preysOn | Solenopsis
Atta robusta | eatenBy | Solenopsis
Columbina passerina | eatenBy | Solenopsis
Neotynelia pubescens | interactsWith | Solenopsis
Cepaea nemoralis | hasParasite | Solenopsis
Asagena medialis | eats | Solenopsis
Oecophylla smaragdina | preysOn | Solenopsis
Meranoplus bicolor | interactsWith | Solenopsis
Gossypium hirsutum | eatenBy | Solenopsis
Ascia monuste | preyedUponBy | Solenopsis
Coprinellus impatiens | hasHost | Solenopsis
Neivamyrmex asper | preysOn | Solenopsis
Todus mexicanus | eats | Solenopsis
Melanerpes portoricensis | eats | Solenopsis
Anthus rubescens | eats | Solenopsis
Eurybia lycisca | interactsWith | Solenopsis
Piper hians | interactsWith | Solenopsis
Thisbe irenea | interactsWith | Solenopsis
Nymphidium onaeum | interactsWith | Solenopsis
Gopherus agassizii | interactsWith | Solenopsis
Pseudacteon | interactsWith | Solenopsis
Phrynosoma | preyedUponBy | Solenopsis
Pseudacteon | parasiteOf | Solenopsis
Kneallhazia | pathogenOf | Solenopsis
Kneallhazia solenopsae | pathogenOf | Solenopsis
Thelohania | pathogenOf | Solenopsis
Wolbachia | pathogenOf | Solenopsis
Toxostoma | preyedUponBy | Solenopsis
Cardinalis | preyedUponBy | Solenopsis
Passerina | preyedUponBy | Solenopsis
Cosmopolites | eatenBy | Solenopsis
Beauveria bassiana | pathogenOf | Solenopsis
Metarhizium anisopliae | pathogenOf | Solenopsis
Lactococcus | interactsWith | Solenopsis
Cecropia | interactsWith | Solenopsis
Leptotrachelus | preyedUponBy | Solenopsis
Beauveria | pathogenOf | Solenopsis
Cosmopolites | preyedUponBy | Solenopsis
Polytus | preyedUponBy | Solenopsis
Leucocoprinus | hasHost | Atta sexdens
KF571997 | interactsWith | Atta sexdens
KF571956 | interactsWith | Atta sexdens
KF571998 | interactsWith | Atta sexdens
Aves | interactsWith | Atta sexdens
Formicidae | interactsWith | Atta sexdens
Basidiomycota | interactsWith | Atta sexdens
Rodentia | interactsWith | Atta sexdens
Escovopsis | interactsWith | Atta sexdens
Streptomyces | interactsWith | Atta sexdens
Atta sexdens | interactsWith | Atta sexdens
Vertebrata | interactsWith | Atta sexdens
Leucoagaricus gongylophorus | hasHost | Atta sexdens
Blastobotrys attinorum | hasHost | Atta sexdens
Metarhizium anisopliae | pathogenOf | Atta sexdens
Sporothrix insectorum | pathogenOf | Paltothyreus tarsatus
Akanthomyces gracilis | pathogenOf | Paltothyreus tarsatus
Polyergus | interactsWith | Formica
Acari | hasHost | Formica
Stellaria graminea | pollinatedBy | Formica
Ranunculus bulbosus | pollinatedBy | Formica
Potentilla reptans | pollinatedBy | Formica
Ranunculus acris | pollinatedBy | Formica
Cirsium palustre | pollinatedBy | Formica
Taraxacum | pollinatedBy | Formica
Alchemilla monticola | pollinatedBy | Formica
Viscaria vulgaris | pollinatedBy | Formica
Galium verum | pollinatedBy | Formica
Lycaeides melissa | interactsWith | Formica
Cornus controversa | flowersVisitedBy | Formica
Aucuba japonica | flowersVisitedBy | Formica
Lysimachia clethroides | flowersVisitedBy | Formica
Beauveria bassiana | pathogenOf | Formica
Lecanicillium lecanii | pathogenOf | Formica
Paecilomyces fumosoroseus | pathogenOf | Cataulacus guineensis
Liphyra brassolis | eats | Oecophylla smaragdina
Liphyra brassolis | interactsWith | Oecophylla smaragdina
Glyphinaphis bambusae | interactsWith | Oecophylla smaragdina
Flagellaria indica | interactsWith | Oecophylla smaragdina
Wrightia laevis | interactsWith | Oecophylla smaragdina
Normanbya normanbyi | interactsWith | Oecophylla smaragdina
Pachygone longifolia | interactsWith | Oecophylla smaragdina
Elaeocarpus angustifolius | interactsWith | Oecophylla smaragdina
Adenia heterophylla | interactsWith | Oecophylla smaragdina
Toona ciliata | interactsWith | Oecophylla smaragdina
Macaranga involucrata | interactsWith | Oecophylla smaragdina
Cardwellia sublimis | interactsWith | Oecophylla smaragdina
Castanospermum australe | interactsWith | Oecophylla smaragdina
Cryptocarya murrayi | interactsWith | Oecophylla smaragdina
Syzygium erythrocalyx | interactsWith | Oecophylla smaragdina
