pmid,subject,relation,object,found,relation_term_matched,distance_chars,snippet
PMC7274273,Ophiocordyceps unilateralis,pathogenOf,Camponotus sericeiventris,True,True,1,"None more so than within the type of O. unilateralis on Camponotus sericeiventris , in which the evidence from Honduran collections suggests that different subspecies of the ant occur within the same forest habitat and that this is reflected in different death positions of the infected ants, as well as in morphological variation within the fungal pathogen. In order to coexist, the ant subspecies must occupy different niches within this ecosystem and, therefore, the fungus may also have evolved at the subspecies level with different morphological (spore forms) and physiological (neurotoxins) traits to maximize infection."
PMC3047535,Ophiocordyceps unilateralis,interactsWith,Camponotus sericeiventris,True,True,2,"Clearly, the ant host depicted is not a leaf-cutter and strongly resembles a carpenter ant, specifically Camponotus sericeiventris Mayr based on the distinctive pronotal plate (Stefan Cover, Museum of Comparative Zoology, Harvard Museum, pers. comm., May 2010; see Fig. 1c ). In addition, after more than 150 years of collecting, O. unilateralis has only ever been recorded on ant hosts of the tribe Camponotini , whilst leaf-cutting ants appear to be remarkably free from infections by entomopathogenic fungi with few confirmed associations"
PMC3342268,Ophiocordyceps,interactsWith,Formicidae,True,True,2,"Long distance spore dispersal seems unlikely as the sexual spores are exceptionally large (100–200 µm in length) and, therefore, probably not easily dispersed by wind. Nevertheless, we now know that O. unilateralis s.l. also has a range of asexual stages (synanamorphs) with spores seemingly designed for either persistence or aerial dispersal; although O. camponoti-rufipedis is the exception and only produces a single anamorph [24] , [26] . Why related Ophiocordyceps - Camponotus associations in the same habitats produce a variety of synanamorphs remains unexplained [24] ."
PMC3342268,Ophiocordyceps camponoti-rufipedis,pathogenOf,Formicidae,True,True,2,"Our results suggest that slow development of fruiting bodies and iteroparous reproduction are likely to be adaptations that achieve long-term persistence with host-ant colonies. This is because infection success of spores is likely to be low as new host ants are difficult to target in both time and space, so that prolonged survival of fruiting bodies increases parasite reproductive success in spite of relatively high costs of hyperparasitism.   MATERIALS AND METHODS  The common ant Camponotus rufipes is host to the specialized parasite Ophiocordyceps camponoti-rufipedis in the Atlantic rainforests of Brazil [24] ."
PMC3342268,Ophiocordyceps camponoti-rufipedis,pathogenOf,Camponotus rufipes,True,True,2,"Our results suggest that slow development of fruiting bodies and iteroparous reproduction are likely to be adaptations that achieve long-term persistence with host-ant colonies. This is because infection success of spores is likely to be low as new host ants are difficult to target in both time and space, so that prolonged survival of fruiting bodies increases parasite reproductive success in spite of relatively high costs of hyperparasitism.   MATERIALS AND METHODS  The common ant Camponotus rufipes is host to the specialized parasite Ophiocordyceps camponoti-rufipedis in the Atlantic rainforests of Brazil [24] ."
PMC3342268,Ophiocordyceps,parasiteOf,Formicidae,True,True,2,"Our results suggest that slow development of fruiting bodies and iteroparous reproduction are likely to be adaptations that achieve long-term persistence with host-ant colonies. This is because infection success of spores is likely to be low as new host ants are difficult to target in both time and space, so that prolonged survival of fruiting bodies increases parasite reproductive success in spite of relatively high costs of hyperparasitism.   MATERIALS AND METHODS  The common ant Camponotus rufipes is host to the specialized parasite Ophiocordyceps camponoti-rufipedis in the Atlantic rainforests of Brazil [24] ."
PMC3679412,Acromyrmex,eats,Agrocybe cylindracea,True,True,2,"Although A. lobicornis is known to harvest a variety of plants (Franzel and Farji-Brener 2000 ), fungi have not been described as being part of its collections before. Indeed, to the best of our knowledge the study by Lechner and Josens ( 2012 ) is the only previous observation of any leaf-cutting ant species collecting fungal basidiocarps. In that study, fruit bodies of Agrocybe cylindracea (DC) Maire that had grown on the surface of Populus bark in Buenos Aires (Argentina) were collected by Acromyrmex lundii Guérin-Méneville."
PMC3679412,Acromyrmex,eats,Agrocybe,True,True,2,"Although A. lobicornis is known to harvest a variety of plants (Franzel and Farji-Brener 2000 ), fungi have not been described as being part of its collections before. Indeed, to the best of our knowledge the study by Lechner and Josens ( 2012 ) is the only previous observation of any leaf-cutting ant species collecting fungal basidiocarps. In that study, fruit bodies of Agrocybe cylindracea (DC) Maire that had grown on the surface of Populus bark in Buenos Aires (Argentina) were collected by Acromyrmex lundii Guérin-Méneville."
PMC3679412,Acromyrmex,eats,Deconica coprophila,True,True,2,"Figure 3 Basidiospores of Psilocybe coprophila from a mature fruit-body collected at the observation site. Basidiospores of Psilocybe coprophila from a mature fruit-body collected at the observation site. Although A. lobicornis is known to harvest a variety of plants (Franzel and Farji-Brener 2000 ), fungi have not been described as being part of its collections before."
PMC3679412,Formicidae,eats,Strophariaceae,True,True,2,"Although A. lobicornis is known to harvest a variety of plants (Franzel and Farji-Brener 2000 ), fungi have not been described as being part of its collections before. Indeed, to the best of our knowledge the study by Lechner and Josens ( 2012 ) is the only previous observation of any leaf-cutting ant species collecting fungal basidiocarps. In that study, fruit bodies of Agrocybe cylindracea (DC) Maire that had grown on the surface of Populus bark in Buenos Aires (Argentina) were collected by Acromyrmex lundii Guérin-Méneville."
PMC3695770,Tetraponera,hasHost,Bacteria,True,True,2,"In previous work of ours we have examined a number of symbiotic occurrences within dipterans, describing the novel species ‘ Candidatus Erwinia dacicola’ dwelling in the oesophageal bulb of the olive fly [ 11 , 12 ] and the novel genus Stammerula, [ 13 ]; for which we highlighted evidences of joint evolution with the insects [ 14 , 15 ]. Hosting bacteria can result in different benefits for insects, among which a specific nutritional complementation is critical for those living on a markedly imbalanced diet, e.g. aphids [ 16 ] or ants. In the latter example trophic metabolism has been recognized as a major contributor of evolutionary shifts [ 17 ], as in the case of the Tetraponera ants [ 18 ]."
PMC4653770,Formicidae,symbiontOf,Chaetothyriales,True,True,2,"Interestingly, isolates of black yeasts similar to Phialophora located in basal and derived ant genera suggest this association might have been started early in the evolutionary history of this symbiosis ( 9 ). Phialophora attae CBS 131958 was isolated from the cuticle of gynes of Atta capiguara ( 10 ). Phylogenetic analyses showed this ant-associated species is affiliated to the europaea clade ( Cyphellophoraceae ), which comprises members involved in human cutaneous and superficial infections and plant debris-inhabiting species ( 11 )."
PMC5062602,Wolbachia,pathogenOf,Solenopsis invicta,True,True,2,"In this species, the gene is located between ant genes bicaudal D and rho guanine nucleotide exchange factor 11. As S. invicta can naturally harbour Wolbachia 39 , either a gene transfer event occurred between these ecologically associated taxa or the S. invicta homologue could be an assembly artefact. This ant genome assembly was based on samples from a region rarely infected with Wolbachia (Y Wurm, personal communication) and there are no other Wolbachia /prophage"
PMC5415117,Formicidae,symbiontOf,Agaricaceae,True,True,2,"Atta and Acromyrmex genera of ants are the most serious agricultural pest of tropical and subtropical America, causing enormous economic damage to the neotropic agricultural industry ( Wirth et al., 2003 ). The possibility of controlling leaf-cutting ants with biological methods has generated great interest in diverse studies involving the fungi cultivated by ants. Ants of the Attini tribe live in obligate symbiosis with a basidiomycete fungus of the Agaricaceae family which is the essential food source for the larvae and queen ( Currie, 2001 , Fisher et al., 1994 , Lange and Grell, 2014 , Miyashira et al., 2010 )."
PMC5415117,Acromyrmex,symbiontOf,Leucoagaricus,True,True,2,"In some studies, genetic markers such as ribosomal gene (rDNA), internal transcribed spacer (ITS), and part of elongation factor 1-α gene (EF 1-α), have been used for the molecular characterization and phylogenetic studies of fungal symbionts of ants ( Chapela et al., 1994 , Lugo et al., 2013 , Ortiz et al., 2008 , Silva et al., 2004 ). In Argentina there is only one initial molecular study of the Leucoagaricus fungus ( Lugo et al., 2013 ). These authors isolated and identified both, morphologically and genetically the fungi cultured by two populations of Acromyrmex lobicornis from the center of Argentina."
PMC5415117,Acromyrmex,symbiontOf,Leucoagaricus gongylophorus,True,True,2,"These structures were recognized in the isolated fungus in our study. Miyashira et al., 2010 , Lugo et al., 2013 completed the morphologic identification of the symbiont fungus of Atta and Acromyrmex leaf-cutting ants using macro- and microscopic characters. In our study, the morphologic identification of the fungus symbiont isolate from one A. pubescens nest was consistent with current taxonomic identification of L. gongylophorus ."
PMC5651009,Ophiocordyceps kniphofioides,pathogenOf,Dinoponera longipes,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
PMC5651009,Ophiocordyceps,pathogenOf,Cephalotes,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
