pmid,title,doi,section,ant_hits,microbe_hits,interaction_hits,score,snippet
20520762,Bacterial Gut Symbionts Contribute to Seed Digestion in an Omnivorous Beetle,10.1371/journal.pone.0010831,DISCUSSION,2,47,14,18,"Lactococcus garvaeae was also found in the stomachs of the more predatory carabid, Poecilus chalcites [44] and the stomachs of fire ants ( Solenopsis invicta ) [62] . Other research has found that changes in an insect's diet accompany changes in bacterial gut communities [64] , [75] ; for example, substantially different bacterial communities resided within cohorts of Lymantria dispar (Lepidoptera: Lymantriidae) caterpillars fed different host plants [64] ."
20520762,Bacterial Gut Symbionts Contribute to Seed Digestion in an Omnivorous Beetle,10.1371/journal.pone.0010831,INTRODUCTION,1,18,8,10,"Microbial symbioses are known to play a role in facilitating this omnivory in a number of insects (e.g., cockroaches, crickets, carpenter ants) [9] , [10] , [18] , [23] , [24] ."
21399679,"Hidden Diversity Behind the Zombie-Ant Fungus Ophiocordyceps unilateralis: Four New Species Described from Carpenter Ants in Minas Gerais, Brazil",10.1371/journal.pone.0017024,RESULTS AND DISCUSSION,14,14,6,34,at the global level which in turn will allow us to look beyond the ant-infecting Ophiocordyceps and ask how specialised are other species of Ophiocordyceps attacking members of diverse insect orders from the Orthoptera to Lepidoptera.
21399679,"Hidden Diversity Behind the Zombie-Ant Fungus Ophiocordyceps unilateralis: Four New Species Described from Carpenter Ants in Minas Gerais, Brazil",10.1371/journal.pone.0017024,INTRODUCTION,17,13,5,31,"unilateralis has only ever been recorded on ant hosts of the tribe Camponotini , whilst leaf-cutting ants appear to be remarkably free from infections by entomopathogenic fungi with few confirmed associations [5] , [6] ."
21554670,Behavioral mechanisms and morphological symptoms of zombie ants dying from fungal infection,10.1186/1472-6785-11-13,RESULTS,72,18,25,61,Focal animal observation periodogram of ants infected by Ophiocordyceps unilateralis s.l .
21554670,Behavioral mechanisms and morphological symptoms of zombie ants dying from fungal infection,10.1186/1472-6785-11-13,BACKGROUND,23,15,24,54,"Worker ants infected by fungal parasites belonging to the genus Ophiocordyceps express death grip behavior shortly before dying for no apparent other purpose than to assist parasite reproduction [ 15 , 16 ]."
22140426,Dancing for Food in the Deep Sea: Bacterial Farming by a New Species of Yeti Crab,10.1371/journal.pone.0026243,INTRODUCTION,1,36,4,6,"From ants that use symbiotic bacteria to protect the fungi that they farm [1] to polychaetes that “garden” bacteria [2] , animals have developed a diversity of mechanisms to increase their symbionts' productivity and health."
22140426,Dancing for Food in the Deep Sea: Bacterial Farming by a New Species of Yeti Crab,10.1371/journal.pone.0026243,RESULTS AND DISCUSSION,0,41,6,6,"were covered with bacteria, even though the density of bacteria was much reduced compared to the WBS."
22567151,Disease Dynamics in a Specialized Parasite of Ant Societies,10.1371/journal.pone.0036352,DISCUSSION,31,28,49,105,"The model is build on the assumption that ant infecting Ophiocordyceps do not produce persistent resting spores and do not grow naturally in the absence of ant hosts, which all available evidence supports."
22567151,Disease Dynamics in a Specialized Parasite of Ant Societies,10.1371/journal.pone.0036352,MATERIALS AND METHODS,19,16,37,69,"The forest harbours a high density and diversity of Ophiocordyceps that infect ants, of which O."
23772357,"Foraging of Psilocybe basidiocarps by the leaf-cutting ant Acromyrmex lobicornis in Santa Fé, Argentina",10.1186/2193-1801-2-254,RESULTS AND DISCUSSION,14,20,3,31,"The ‘Consumption First’ model (Weber 1972 ) postulates that a fungus species which was at first collected and directly consumed by ants might have become a mutualistic symbiont over time, once the ants had become capable of cultivating it and transmitting it to their offspring."
23772357,"Foraging of Psilocybe basidiocarps by the leaf-cutting ant Acromyrmex lobicornis in Santa Fé, Argentina",10.1186/2193-1801-2-254,BACKGROUND,9,5,2,12,The association between Leucoagaricus and leaf-cutting ants is considered to be mutually and obligately symbiotic (Weber 1972 ).
23758657,A unique midgut-associated bacterial community hosted by the cave beetle Cansiliella servadeii (Coleoptera: Leptodirini) reveals parallel phylogenetic divergences from universal gut-specific ancestors,10.1186/1471-2180-13-129,BACKGROUND,4,13,4,12,In these ants the onset of herbivory has been postulated to be the result of the link with internal bacteria.
23758657,A unique midgut-associated bacterial community hosted by the cave beetle Cansiliella servadeii (Coleoptera: Leptodirini) reveals parallel phylogenetic divergences from universal gut-specific ancestors,10.1186/1471-2180-13-129,RESULTS,1,27,5,7,"analysis gave similarities that in most cases were below the species and even genus limit (respectively for the 89.04% and 63% of the samples), nevertheless the best matches of a vast majority of clones corresponded to bacteria occurring in different insects gut, including ants, termites, and beetles (Table 2 )."
